ID,HQ_TEQ,CR_TEQ,EPA_CR_TEQ,TEQ,TCDF_2378,TCDF_Total,TCDD_2378,TCDD_Total,PeCDF_12378,PeCDF_23478,PeCDF_Total,PeCDD_12378,PeCDD_Total,HxCDF_123478,HxCDF_123678,HxCDF_234678,HxCDF_123789,HxCDF_Total,HxCDD_123478,HxCDD_123678,HxCDD_123789,HxCDD_Total,HpCDF_1234678,HpCDF_1234789,HpCDF_Total,HpCDD_1234678,HpCDD_Total,OCDF,OCDD
209-1,0.131,1.37e-5,5.09e-6,4.9e-4,2.0999999999999998e-4,4.7e-4,8e-5,8e-5,1.1e-4,1.3000000000000002e-4,1.1e-4,2.3e-4,0,5.200000000000001e-4,0,0,1.1999999999999999e-4,0,2.3999999999999998e-4,1.9e-4,0,0,0,0,0,7.099999999999999e-4,0,0,0.0040999999999999995
209-2,0.0072,7.56e-7,2.81e-7,2.7e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3999999999999998e-4,0,0,0,0,0,0,2.5e-4,0,0,0.0015
21-1,6.4e-5,6.72e-9,2.49e-9,2.4000000000000003e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9e-4
213-2,3.47e-5,3.64e-9,1.35e-9,1.3e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6e-4,0,0,0,0,0,0,0,0,0,0,4.1999999999999996e-4
216-1,7.73e-4,8.12e-8,3.01e-8,2.8999999999999998e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9e-4,0,0,0
219-01,0.4,4.2e-5,1.56e-5,0.0015,0.0019,0.0035,2.5e-4,2.5e-4,0,4.9e-4,4.9e-4,8.7e-4,8.7e-4,0,1.7999999999999998e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013
26-2,0.115,1.2e-5,4.47e-6,4.3e-4,4.7e-4,4.7e-4,0,0,0,0,0,3.8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8000000000000003e-4,0,0
34-1,0.171,1.79e-5,6.65e-6,6.4e-4,5.899999999999999e-4,8.3e-4,0,0,0,4e-4,8.5e-4,3.5e-4,0,2.3e-4,2.6000000000000003e-4,4.1e-4,2e-4,6.5e-4,0,0,0,0,7.4e-4,0,7.4e-4,4.3e-4,0,0,0
37-2,0.109,1.15e-5,4.26e-6,4.1e-4,2.0999999999999998e-4,4.1999999999999996e-4,0,2.2e-4,0,2.5e-4,4.3e-4,2.3e-4,0,0,3.7e-4,3.1e-4,0,0.0017,0,0,0,0,6.2e-4,0,6.2e-4,4.5e-4,4.5e-4,0,6.6e-4
41-1,0.0667,7e-6,2.6e-6,2.5e-4,0,0.0066,0,0.0011,0,2.5e-4,0.0018,0,0,5.200000000000001e-4,5.7e-4,4.6e-4,0,0.0028,0,0,0,0,0.0015,0,0.0015,8.100000000000001e-4,0,0,0.0011
46-1,0.0773,8.12e-6,3.01e-6,2.9e-4,0,0.0011,0,3.4e-4,0,2.2e-4,0.0015,0,0,4.3e-4,4.1e-4,5.4e-4,2.3e-4,0.0028,3e-4,1.7999999999999998e-4,0,0.0028,0.0011,0,0,6.7e-4,0.0013,5.5e-4,0.001
49-1,0.0587,6.16e-6,2.29e-6,2.2e-4,0,3.5e-4,0,0,0,2.3999999999999998e-4,7.6e-4,0,0,4e-4,6.2e-4,2.8000000000000003e-4,0,0.0026,0,0,0,0,0.0013,0,0,4.7999999999999996e-4,7e-4,0,0
53-1,1.39,1.46e-4,5.41e-5,0.0052,0.0032,0.0070999999999999995,0.0016,0.0016,0.0015,0.002,0.0035,0.0014,0.0014,0.0017,5.200000000000001e-4,0.0070999999999999995,0,0.0022,6.8e-4,0.00093000000000000005,0,0.00093000000000000005,9.1e-4,0,9.1e-4,0.0013,0.0022,7.5e-4,0.0024
57-1,0.155,1.62e-5,6.03e-6,5.8e-4,0.0013,0.0022,0,0,0,3e-4,3e-4,1.7999999999999998e-4,1.7999999999999998e-4,2.0999999999999998e-4,0,7.8e-4,0,0,2.6000000000000003e-4,4.7e-4,0,0,5.3e-4,0,0,5.5e-4,4.7999999999999996e-4,3.5999999999999997e-4,9.2e-4
58-1,0.104,1.09e-5,4.05e-6,3.9e-4,7.7e-5,4.1999999999999996e-4,0,0,0,1.7999999999999998e-4,4.6e-4,1.1999999999999999e-4,0,2.8000000000000003e-4,3.8e-4,4.9e-4,2.2e-4,0.0021000000000000003,2.3999999999999998e-4,1.7e-4,1.1e-4,9.9e-4,0.0011,0,0.0011,0.0012,0.002,2.9e-4,0.0067
62-3,0.128,1.34e-5,4.99e-6,4.7999999999999996e-4,1.7e-4,0.0014,0,6.6e-5,1.7999999999999998e-4,3.3e-4,0.002,1.3000000000000002e-4,4.9e-4,3.9e-4,5.7e-4,3.2e-4,2.3e-4,0.0027,2.7e-4,1.3000000000000002e-4,1.3000000000000002e-4,0.001,0.0015,0,0.0015,0.001,0.0021000000000000003,7.199999999999999e-4,0.0023
69-1,0.072,7.56e-6,2.81e-6,2.7e-4,1.3000000000000002e-4,3e-4,0,0,0,1.4000000000000001e-4,3.2e-4,1e-4,1e-4,1.7e-4,2.3999999999999998e-4,2.0999999999999998e-4,1.5e-4,6.3e-4,1.7999999999999998e-4,1.1999999999999999e-4,0,4.3e-4,8.399999999999999e-4,0,0,5.600000000000001e-4,0.0012,2.7e-4,7e-4
70-1,0.0667,7e-6,2.6e-6,2.5e-4,0,3.3e-4,0,0,0,1.7999999999999998e-4,3e-4,0,0,3e-4,2.2e-4,9.8e-4,0,5.3e-4,2.8000000000000003e-4,0,0,3.7e-4,0.001,0,0,8.399999999999999e-4,8.2e-4,4.9e-4,0.0017
72-1,0.251,2.63e-5,9.77e-6,9.4e-4,0.0013,0.0018,0,0,2.3e-4,5.4e-4,0.0012,4.7e-4,0,2.7e-4,1.9e-4,3.5999999999999997e-4,0,0.0011,3.2e-4,3.4e-4,0,3.4e-4,8.900000000000001e-4,0,8.900000000000001e-4,0.0011,0.0019,2.3e-4,0.0039
74-1,0.0587,6.16e-6,2.29e-6,2.2e-4,0,6.7e-4,0,2.0999999999999998e-4,0,1.9e-4,2.2e-4,0,0,2.9e-4,2e-4,3.7e-4,1.4000000000000001e-4,0.0012,3e-4,1.4000000000000001e-4,0,3e-4,0.0012,0,0,5.8e-4,0.0012,4e-4,0.0012
77-1,0.0773,8.12e-6,3.01e-6,2.9e-4,0,0.0011,0,6.6e-4,0,0,0,2e-4,2e-4,1.1999999999999999e-4,1.1e-4,1.7e-4,0,8.6e-4,2.6000000000000003e-4,1.5e-4,0,4.1e-4,4.1e-4,0,4.1e-4,3.7e-4,7.099999999999999e-4,0,5e-4
82-1,0.0533,5.6e-6,2.08e-6,2e-4,3.5999999999999997e-4,0.0014,0,0,0,1.7999999999999998e-4,1.7999999999999998e-4,0,0,2.6000000000000003e-4,2e-4,2.9e-4,0,2.9e-4,2.8000000000000003e-4,0,0,0,2.7e-4,0,0,3.4e-4,5.4e-4,2.5e-4,7.6e-4
84-1,0.048,5.04e-6,1.87e-6,1.7999999999999998e-4,0,0.0024,0,0,0,1.1999999999999999e-4,5.1e-4,0,0,1.7e-4,2.6000000000000003e-4,2.8000000000000003e-4,0,0.001,5.1e-4,1.1e-4,0,0.0011,8.399999999999999e-4,0,8.399999999999999e-4,6.3e-4,0.0012,1.7999999999999998e-4,8.3e-4
86-1,0.0827,8.68e-6,3.22e-6,3.1e-4,1.6e-4,7.8e-4,0,0,0,1.7e-4,5.600000000000001e-4,1.1e-4,0,1.9e-4,1.9e-4,3.4e-4,1.1e-4,0.0011,1.9e-4,1.4000000000000001e-4,8.5e-5,3.4e-4,8.2e-4,0,8.2e-4,3.9e-4,4.4e-4,2.3999999999999998e-4,4.7999999999999996e-4
87-1,0.0256,2.69e-6,9.98e-7,9.6e-5,0,1.5e-4,0,0,0,7.3e-5,8.8e-5,0,0,9.1e-5,7.4e-5,2.9e-4,8.599999999999999e-5,1.7e-4,1.3000000000000002e-4,0,0,0,4.1999999999999996e-4,0,4.1999999999999996e-4,3.4e-4,0,1.9e-4,6.1e-4
89-1,0.141,1.48e-5,5.51e-6,5.3e-4,0.0016,0.0019,0,0,3.2e-4,3.8e-4,3.2e-4,1.7999999999999998e-4,1.7999999999999998e-4,1.1e-4,1.1e-4,9.800000000000001e-5,0,2.3e-4,1.7999999999999998e-4,1.6e-4,0,3.4e-4,0,0,0,2.3999999999999998e-4,2.3999999999999998e-4,0,5.3e-4
