LABNO,TAGNO,SPP,SDATE,LOCATION,SEX,WGTG,PROGRAM,NOANLY,Hg
21-1600-H,46-1,WODU,20211019,PA,NA,NA,Cornell WF-2021,1,0.0245
21-1601-H,72-1,MALL,20211016,Bethel-PA,NA,NA,Cornell WF-2021,1,0.00410
21-1602-H,999-1,ABDU,20211125,Brownstown-PA,NA,NA,Cornell WF-2021,1,0.0151
21-1603-H,37-2,WODU,20211009,East Berlin-PA,M,NA,Cornell WF-2021,1,0.0389
21-1604-H,128-1,CAGO,20211103,East Springfield-PA,NA,NA,Cornell WF-2021,1,-0.004
21-1605-H,184-1,MALL,20211207,Ellwood City-PA,M,NA,Cornell WF-2021,1,0.0138
21-1606-H,184-2,MALL,20211207,Ellwood City-PA,F,NA,Cornell WF-2021,1,0.0169
21-1607-H,216-1,CAGO,20220106,GreenField-PA,NA,NA,Cornell WF-2021,1,0.00430
21-1608-H,122-1,CAGO,20211101,Hartstown-PA,NA,4950,Cornell WF-2021,1,-0.004
21-1609-H,219-01,ABDU,20220110,Hillsville-PA,NA,NA,Cornell WF-2021,1,0.102
21-1610-H,41-1,AGWT,20211009,Honesdale-PA,F,NA,Cornell WF-2021,1,0.131
21-1611-H,53-1,MALL,20211013,Lebanon-PA,NA,NA,Cornell WF-2021,1,0.00770
21-1612-H,123-1,MALL,20211101,Linesville-PA,NA,NA,Cornell WF-2021,1,0.00640
21-1613-H,142-1,ABDU,20211108,Linesville-PA,NA,NA,Cornell WF-2021,1,0.00580
21-1614-H,148-1,AGWT,20211112,Linesville-PA,NA,NA,Cornell WF-2021,1,-0.004
21-1615-H,205-1,MALL,20211224,Lititz-PA,NA,NA,Cornell WF-2021,1,0.00650
21-1616-H,213-2,CAGO,20220104,Mahoningtown-PA,NA,NA,Cornell WF-2021,1,-0.004
21-1617-H,62-3,WODU,20211013,Mahoningtown-PA,NA,NA,Cornell WF-2021,1,0.0135
21-1618-H,197-1,ABDU,20211216,Morrisville-PA,NA,1228.7,Cornell WF-2021,1,0.151
21-1619-H,206-1,CAGO,20211224,Morrisville-PA,NA,NA,Cornell WF-2021,1,-0.004
21-1620-H,209-1,MALL,20211231,Morrisville-PA,NA,1466.3,Cornell WF-2021,1,0.0151
21-1621-H,209-2,CAGO,20211231,Morrisville-PA,NA,4988.8,Cornell WF-2021,1,-0.004
21-1622-H,131-1,MALL,20211016,New Castle-PA,NA,NA,Cornell WF-2021,1,0.00760
21-1623-H,210-1,CAGO,20211231,Orbisonia-PA,NA,NA,Cornell WF-2021,1,-0.004
21-1624-H,MC-2,AGWT,20211012,Schaefferstown-PA,NA,NA,Cornell WF-2021,1,0.0186
21-1625-H,98-1,WODU,20211023,Tioga-PA,M,NA,Cornell WF-2021,1,-0.004
21-1626-H,64-1,WODU,20211014,Waterford-PA,NA,NA,Cornell WF-2021,1,0.00450
21-1627-H,86-1,WODU,20211022,Westford-PA,NA,NA,Cornell WF-2021,1,0.0200
,,,,,,,,,
,,,,,,,,,
