Contaminant,Min,Max,Median,Mean,DF,N_tested
4PCB67,0,0,0,0,0,98
4PCB69,0,0,0,0,0,98
4PCB70+76,0,3.45,0,0.0592,8.16,98
4PCB72,0,1.74,0,0.0262,5.1,98
4PCB77,0,3.88,0,0.0866,17.3,98
4PCB78,0,0,0,0,0,98
4PCB79,0,0.061,0,9.49e-4,2.04,98
4PCB81,0,0.272,0,0.00278,1.02,98
5:3 FTCA,0,7.62,0,0.122,1.87,107
5PCB100,0,0.64,0,0.00794,2.04,98
5PCB103,0,0.088,0,8.98e-4,1.02,98
5PCB104,0,0,0,0,0,98
5PCB105+127,0,54.8,0.124,1.16,71.4,98
5PCB106+118,0,175,0.43,3.5,92.9,98
5PCB107+109,0,9.89,0,0.157,25.5,98
5PCB110,0,2.91,0,0.0558,11.2,98
5PCB111+117,0,9.87,0,0.161,23.5,98
5PCB112,0,0,0,0,0,98
5PCB113,0,0.122,0,0.00216,2.04,98
5PCB114,0,3.7,0,0.0679,16.3,98
5PCB119,0,2.18,0,0.0306,7.14,98
5PCB122,0,0,0,0,0,98
5PCB123,0,2.98,0,0.0433,11.2,98
5PCB124,0,0.257,0,0.00427,2.04,98
5PCB125,0,0,0,0,0,98
5PCB126,0,4.11,0,0.0803,24.5,98
5PCB82,0,0,0,0,0,98
5PCB83+108,0,0.065,0,6.63e-4,1.02,98
5PCB84,0,0.07,0,0.00141,2.04,98
5PCB85+120,0,10.9,0,0.168,18.4,98
5PCB86+97,0,0.349,0,0.00567,2.04,98
5PCB87+115+116,0,4.25,0,0.063,7.14,98
5PCB88+121,0,0.139,0,0.00142,1.02,98
5PCB89+90+101,0,11.9,0,0.213,32.7,98
5PCB91,0,0.568,0,0.00905,4.08,98
5PCB92,0,5.88,0,0.0961,16.3,98
5PCB93+95,0,4.09,0,0.0743,13.3,98
5PCB94,0,0.153,0,0.00156,1.02,98
5PCB96,0,0,0,0,0,98
5PCB98+102,0,0.045,0,4.59e-4,1.02,98
5PCB99,0,96.3,0.15,1.58,75.5,98
6:2 FTS,0,3.62,0,0.114,17.8,107
6PCB128,0,28.4,0.0735,0.595,60.2,98
6PCB129,0,0.753,0,0.0105,4.08,98
6PCB130,0,3.55,0,0.0619,17.3,98
6PCB131+142,0,0,0,0,0,98
6PCB132+168,0,1.06,0,0.0217,14.3,98
6PCB133,0,4.47,0,0.0886,24.5,98
6PCB134+143,0,0,0,0,0,98
6PCB135+144,0,1.23,0,0.0247,10.2,98
6PCB136,0,0.127,0,0.00262,3.06,98
6PCB137,0,3.9,0,0.0623,16.3,98
6PCB138+163+164,0,203,0.484,4.25,99,98
6PCB139+149,0,11,0,0.262,38.8,98
6PCB140,0,0.04,0,4.08e-4,1.02,98
6PCB141,0,1.86,0,0.0333,8.16,98
6PCB145,0,0,0,0,0,98
6PCB146,0,57.7,0.165,1.27,82.7,98
6PCB147,0,3.57,0,0.0531,12.2,98
6PCB148,0,0.163,0,0.0025,3.06,98
6PCB150,0,0,0,0,0,98
6PCB151,0,3.62,0,0.0662,13.3,98
6PCB152,0,0,0,0,0,98
6PCB153,0.069,380,1.05,8.34,100,98
6PCB154,0,2.32,0,0.0373,12.2,98
6PCB155,0,0.63,0,0.00994,6.12,98
6PCB156,0,19.7,0.059,0.474,62.2,98
6PCB157,0,5.63,0,0.126,34.7,98
6PCB158+160,0,17.9,0,0.326,42.9,98
6PCB159,0,4.13,0,0.104,33.7,98
6PCB161,0,0,0,0,0,98
6PCB162,0,2.72,0,0.0499,16.3,98
6PCB165,0,0.253,0,0.00296,2.04,98
6PCB166,0,1.05,0,0.0177,8.16,98
6PCB167,0,12.8,0.0325,0.276,53.1,98
6PCB169,0,0.111,0,0.00153,2.04,98
7:3 FTCA,0,60.7,0,2.3,24.3,107
7PCB170+190,0,90.8,0.218,2.1,88.8,98
7PCB171,0,12.9,0,0.248,41.8,98
7PCB172+192,0,9.69,0,0.222,44.9,98
7PCB173,0,0.044,0,4.49e-4,1.02,98
7PCB174+181,0,2.31,0,0.0561,21.4,98
7PCB175,0,1.74,0,0.0288,12.2,98
7PCB176,0,0.133,0,0.00241,3.06,98
7PCB177,0,13.1,0,0.273,46.9,98
7PCB178,0,9.17,0,0.203,46.9,98
7PCB179,0,0.219,0,0.00564,6.12,98
7PCB180,0,259,0.511,5.14,95.9,98
7PCB182+187,0,109,0.342,2.91,94.9,98
7PCB183,0,51.9,0.11,1.05,72.4,98
7PCB184,0,0.143,0,0.00192,2.04,98
7PCB185,0,0.306,0,0.00524,4.08,98
7PCB186,0,0,0,0,0,98
7PCB188,0,0.125,0,0.00244,3.06,98
7PCB189,0,3.28,0,0.0852,38.8,98
7PCB191,0,3.59,0,0.0589,18.4,98
7PCB193,0,11.1,0.0385,0.313,51,98
8:2 FTS,0,1.15,0,0.0166,1.87,107
8PCB194,0,64.2,0.287,1.72,81.6,98
8PCB195,0,18.2,0,0.481,49,98
8PCB196+203,0,75.6,0.3,1.85,81.6,98
8PCB197,0,2.82,0,0.0574,19.4,98
8PCB198,0,1.38,0,0.0254,9.18,98
8PCB199,0,61.1,0.296,1.7,81.6,98
8PCB200,0,0.171,0,0.00174,1.02,98
8PCB201,0,3.22,0,0.0629,23.5,98
8PCB202,0,8.43,0,0.182,39.8,98
8PCB204,0,0,0,0,0,98
8PCB205,0,2.33,0,0.0596,23.5,98
9Cl-PF3ONS,0,0,0,0,0,107
9PCB206,0,29.5,0.272,1.02,71.4,98
9PCB207,0,4.27,0,0.113,28.6,98
9PCB208,0,11.4,0.0725,0.339,52,98
ADONA,0,0,0,0,0,107
Aldrin,0,0.105,0,0.00368,4.08,98
Aroclor 1016,0,0,0,0,0,98
Aroclor 1221,0,0,0,0,0,98
Aroclor 1232,0,0,0,0,0,98
Aroclor 1242,0,158,0,2.61,35.7,98
Aroclor 1248,0,0,0,0,0,98
Aroclor 1254,0,1010,1.35,16.4,57.1,98
