,TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
6536,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB61+74,NA,N,C U,ng/g,0.459,0.0378,WG87204,NA,33284-53-6,NA,NA,21-Oct-21,2,NA
6537,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB62+65,NA,N,C U,ng/g,0.459,0.0284,WG87204,NA,54230-22-7,NA,NA,21-Oct-21,2,NA
6538,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB63,NA,N,U,ng/g,0.459,0.0378,WG87204,NA,74472-34-7,NA,NA,21-Oct-21,2,NA
6539,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB66+80,NA,N,C U,ng/g,0.46,0.0378,WG87204,NA,32598-10-0,NA,NA,21-Oct-21,2,NA
6540,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB67,NA,N,U,ng/g,0.459,0.0763,WG87204,NA,73575-53-8,NA,NA,21-Oct-21,2,NA
6541,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB69,NA,N,U,ng/g,0.459,0.0284,WG87204,NA,60233-24-1,NA,NA,21-Oct-21,2,NA
6542,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB70+76,NA,N,C U,ng/g,0.459,0.0378,WG87204,NA,32598-11-1,NA,NA,21-Oct-21,2,NA
6543,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB72,NA,N,U,ng/g,0.459,0.0325,WG87204,NA,41464-42-0,NA,NA,21-Oct-21,2,NA
6544,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB77,NA,N,U,ng/g,0.459,0.0246,WG87204,NA,32598-13-3,NA,NA,21-Oct-21,2,NA
6545,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB78,NA,N,U,ng/g,0.459,0.0246,WG87204,NA,70362-49-1,NA,NA,21-Oct-21,2,NA
