ID,11Cl-PF3OUdS,3:3 FTCA,4:2 FTS,5:3 FTCA,6:2 FTS,7:3 FTCA,8:2 FTS,9Cl-PF3ONS,ADONA,EtFOSAA,HFPO-DA,HQ_HFPO-DA,MeFOSAA,N-EtFOSA,N-EtFOSE,N-MeFOSA,N-MeFOSE,NFDHA,PFBA,HQ_PFBA,PFBS,HQ_PFBS,PFDA,HQ_PFDA,PFDS,HQ_PFDS,PFDoA,HQ_PFDoA,PFDoS,PFEESA,PFHpA,HQ_PFHpA,PFHpS,PFHxA,HQ_PFHxA,PFHxS,HQ_PFHxS,PFMBA,PFMPA,PFNA,HQ_PFNA,PFNS,PFOA,HQ_PFOA,CR_PFOA,EPA_CR_PFOA,PFOS,HQ_PFOS,PFOSA,HQ_PFOSA,PFPeA,HQ_PFPeA,PFPeS,PFTeDA,HQ_PFTeDA,PFTrDA,HQ_PFTrDA,PFUnA,HQ_PFUnA,Sum_PFAS_HQ,Sum_PFAS_CR,Sum_PFAS_EPACR
MC-2,0,0,0,0,0,0,0.623,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0.476,0.00592,0,0,0.348,0.00541,0,0,0,0,0,0,0,0,0,0,0,0.565,0.0352,0,0,0,0,0,4.9,0.457,0,0,0,0,0,0.239,0.0037200000000000002,0.484,0.00753,0.338,0.00526,0.5200400000000001,0,0
CTABD02,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477,0.00594,0.1,0.00156,0.3,0.00467,0,0,0,0,0,0,0,0.149,0.00139,0,0,2.37,0.147,0,0.106,0.0066,1.39e-9,5.14e-10,3.29,0.307,0,0,0,0,0,0.244,0.0038,0.432,0.00672,0.38,0.00591,0.49058999999999997,1.39e-9,5.14e-10
CTABD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.0205,0,0,0,0,0,0,0,0,0,0,0,0.0205,0,0
CTAGWT1,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0.495,0.00616,0,0,0.48,0.00747,0,0,0,0,0,0,0,0,0,0,0,0.434,0.027,0,0.872,0.0543,1.14e-8,4.23e-9,2.17,0.203,0,0,0,0,0,0.663,0.0103,1.22,0.019,0.305,0.00474,0.33197,1.14e-8,4.23e-9
CTAGWT2,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0.94,0,0,0,0,0,0,0,0.835,0.0104,0,0,0.418,0.0065,0,0,0,0,0.095,0,0,0.175,0.00163,0,0,1.08,0.0672,0,0,0,0,0,8.95,0.835,0,0,0,0,0,0.327,0.00509,0.393,0.00611,0.72,0.0112,0.9431299999999999,0,0
CTAGWT3,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.00378,0,0,0.318,0.00495,0,0,0,0,0,0,0,0.56,0.00523,0,0,0.506,0.0315,0,0,0,0,0,3.66,0.342,0,0,0,0,0,0.149,0.00232,0.37,0.00576,0.471,0.00733,0.40287,0,0
CTCAG01,0,0,0,0,0,0,0,0,0,0.361,0,0,0.111,0,0,0.1,0,0,0,0,0,0,0.227,0.00283,0,0,0.08,0.00124,0,0,0,0,0,0,0,0,0,0,0,0.179,0.0111,0,0,0,0,0,0.703,0.0656,0,0,0,0,0,0,0,0,0,0.1,0.00156,0.08233,0,0
CTCAG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTCAG03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.171,0.00213,0,0,0.183,0.00285,0,0,0,0,0,0,0,0.332,0.0031,0,0,0.217,0.0135,0,0,0,0,0,4.34,0.405,0,0,0,0,0,0.119,0.00185,0,0,0,0,0.42843000000000003,0,0
CTMALL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0.135,0.00168,0,0,0.387,0.00602,0,0,0,0,0,0,0,0,0,0,0,0.124,0.00772,0,0,0,0,0,0.927,0.0865,0,0,0,0,0,0.426,0.00663,0.397,0.00618,0.14100000000000001,0.00219,0.11692,0,0
CTMALL2,0,0,0,0,0,14.9,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0.127,0.00158,0,0,0.103,0.0016,0,0,0,0,0,0,0,0,0,0,0,0.295,0.0184,0,0,0,0,0,0.857,0.08,0,0,0,0,0,0,0,0,0,0,0,0.10158,0,0
CTMALL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0.00152,0,0,0.086,0.00134,0,0,0,0,0,0,0,0,0,0,0,0.104,0.00647,0,0.084,0.00523,1.1e-9,4.07e-10,0.157,0.0147,0,0,0,0,0,0,0,0.167,0.0026,0,0,0.03186,1.1e-9,4.07e-10
CTWOD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0.076,0,0,0,0,0,0,0.07,8.71e-4,0,0,0.061,9.49e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.0189,0,0,0,0,0,0.112,0.00174,0,0,0,0,0.02246,0,0
CTWOD02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0.133,0.00166,0.112,0.00174,0.332,0.00516,0,0,0,0,0.229,0,0,0.145,0.00135,0,0,0,0,0,0,0,0,0,6.18,0.577,0,0,0,0,0,0.427,0.00664,0.291,0.00453,0,0,0.59808,0,0
NJ_ABDU_01_AD,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.308,0.00383,0,0,0.239,0.0037200000000000002,0,0,0,0,0,0,0,0.184,0.00172,0,0,0.785,0.0488,0,0.41,0.0255,5.36e-9,1.99e-9,1.42,0.133,0,0,0,0,0,0.093,0.00145,0.206,0.0032,0.27999999999999997,0.00436,0.22558,5.36e-9,1.99e-9
NJ_ABDU_02_LC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0.101,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0.00728,0,0.142,0.00884,1.86e-9,6.89e-10,0.236,0.022,0,0,0,0,0,0,0,0,0,0,0,0.03938,1.86e-9,6.89e-10
NJ_ABDU_30_AD,0,0,0,0,0,9.19,1.15,0,0,0.076,0,0,0,0,0.806,0.129,0,0,0,0,0,0,1.63,0.0203,0.726,0.0113,1.95,0.0303,0,0,0,0,0.174,0,0,0.349,0.00326,0,0,1.36,0.0846,0,0.148,0.00921,1.93e-9,7.18e-10,13.2,1.23,0,0,0,0,0,0.781,0.0121,1.55,0.0241,2,0.0311,1.45627,1.93e-9,7.18e-10
NJ_AGWT_01_AD,0,0,0,5.45,0,60.7,0,0,0,0.328,0,0,0,0,0,0,0,0,0.497,9.28e-5,0,0,0.755,0.0094,1.02,0.0159,0.669,0.0104,0,0,0,0,0.143,0,0,0.38,0.00355,0,0,0.418,0.026,0,0.291,0.0181,3.8e-9,1.41e-9,14.2,1.33,0,0,0,0,0,0.845,0.0131,1.26,0.0196,0.404,0.00628,1.4524228000000001,3.8e-9,1.41e-9
NJ_AGWT_01_LC,0,0,0,7.62,0,8.91,0,0,0,0,0,0,0,0,2.01,0,0,0,0.437,8.16e-5,0,0,2.39,0.0297,0.196,0.00305,1.17,0.0182,0,0,0,0,0,0,0,0.241,0.00225,0,0,4.06,0.253,0,0.244,0.0152,3.19e-9,1.18e-9,3.31,0.309,0,0,0,0,0,0.231,0.00359,0.662,0.0103,3.43,0.0534,0.6977716,3.19e-9,1.18e-9
NJ_AGWT_02_NJ,0,0,0,0,0,15.7,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0.698,0.00869,0.128,0.00199,0.411,0.00639,0,0,0,0,0,0,0,0,0,0,0,1.33,0.0828,0,0.424,0.0264,5.54e-9,2.06e-9,3.14,0.293,0,0,0,0,0,0,0,0.334,0.0052,0.784,0.0122,0.43667,5.54e-9,2.06e-9
NJ_AGWT_02_AD,0,0,0,0,0,5.04,0,0,0,0.136,0,0,0,0,5.77,0,0,0,0,0,0,0,0.795,0.00989,0.163,0.00254,0.75,0.0117,0,0,0,0,0,0,0,0.367,0.00343,0,0,1.08,0.0672,0,0.388,0.0241,5.07e-9,1.88e-9,3.34,0.312,0,0,0,0,0,0.393,0.00611,0.674,0.0105,1.252,0.0195,0.46697,5.07e-9,1.88e-9
NJ_CAGO_01_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0.177,0.0022,0,0,0.163,0.00254,0,0,0,0,0,0,0,0,0,0,0,0.09,0.0056,0,0,0,0,0,0.666,0.0622,0,0,0,0,0,0.108,0.00168,0.154,0.0024,0,0,0.07662,0,0
NJ_CAGO_30_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0.315,0.00392,0,0,0.149,0.00232,0,0,0,0,0,0.087,3.25e-5,0.895,0.00835,0,0,0.274,0.017,0,0,0,0,0,5.75,0.537,0,0,0,0,0,0,0,0,0,0.30800000000000005,0.00479,0.5734125,0,0
NJ_MALL_01_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,1.15,0.0143,0,0,0.625,0.00972,0,0,0,0,0.44,0,0,6.72,0.0627,0,0,1.37,0.0852,0,0.259,0.0161,3.38e-9,1.26e-9,46.6,4.35,0,0,0,0,0.314,0.111,0.00173,0.347,0.0054,3.4019999999999997,0.0529,4.59805,3.38e-9,1.26e-9
NJ_MALL_10_AD,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0.758,0.00943,0.122,0.0019,0.409,0.00636,0,0,0,0,0,0,0,0.276,0.00258,0,0,0.861,0.0536,0,0,0,0,0,3.58,0.334,0,0,0,0,0,0.285,0.00443,0.561,0.00873,0.825,0.0128,0.43383,0,0
NJ_MALL_11_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0.321,0.00399,0.387,0.00602,0.35,0.00544,0,0,0,0,0,0,0,0,0,0,0,0.515,0.032,0,0.247,0.0154,3.23e-9,1.2e-9,1.51,0.141,0,0,0,0,0,0.255,0.00397,0.605,0.00941,0.363,0.00565,0.22288,3.23e-9,1.2e-9
NJ_MALL_30_AD,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,1.1,0.0137,0.114,0.00177,0.918,0.0143,0,0,0,0,0,0,0,0.176,0.00164,0,0,0.885,0.0551,0,0.222,0.0138,2.9e-9,1.08e-9,8.45,0.789,0,0,0,0,0,0.576,0.00896,0.897,0.014,1.022,0.0159,0.92817,2.9e-9,1.08e-9
NJ_MALL_40_AD,0,0,0,0,0,34.9,0,0,0,0.482,0,0,0,0,3.08,0,0,0,0,0,0,0,1.3,0.0162,1.53,0.0238,2.25,0.035,0,0,0,0,0.178,0,0,0.756,0.00706,0,0,0.406,0.0253,0,0,0,0,0,14.8,1.38,0,0,0,0,0,1.47,0.0229,2.21,0.0344,2.1919999999999997,0.0341,1.57876,0,0
NJ_MALL_60_AD,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0.43,0.00535,0.273,0.00425,0.952,0.0148,0,0,0,0,0.164,0,0,0.367,0.00343,0,0,0.495,0.0308,0,0,0,0,0,13.7,1.28,0,0,0,0,0,1.21,0.0188,1.37,0.0213,0.392,0.0061,1.38483,0,0
NJ_WODU_01_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0.00174,0.383,0.00596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0.115,0,0,0,0,0,0.103,0.0016,0.473,0.00736,0,0,0.13166,0,0
NJ_WODU_01_JK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0.702,0.00874,0.205,0.00319,0.371,0.00577,0,0,0.077,6.25e-4,0,0,0,0.177,0.00165,0,0,0.603,0.0375,0,0,0,0,0,4.51,0.421,0,0,0,0,0,0.15,0.00233,0.254,0.00395,0.527,0.0082,0.492955,0,0
NJ_WODU_01_TN,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,4.21,0,0,0,0,0,0,0,0.205,0.00255,0,0,0.322,0.00501,0,0,0,0,0,0,0,0,0,0,0,0.304,0.0189,0,0,0,0,0,0.331,0.0309,0,0,0,0,0,0.213,0.00331,0.446,0.00694,0.47,0.00731,0.07492,0,0
NJ_WODU_02_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63,0,0,0,0,0,0,0,0.184,0.00229,0,0,0.294,0.00457,0,0,0,0,0,0,0,0,0,0,0,0.132,0.00821,0,0,0,0,0,0.941,0.0878,0,0,0,0,0,0.329,0.00512,0.587,0.00913,0.29200000000000004,0.00454,0.12166,0,0
NJ_WODU_03_AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.00224,0,0,0.397,0.00618,0,0,0,0,0,0,0,0,0,0,0,0.101,0.00628,0,0,0,0,0,1.67,0.156,0,0,0,0,0,0.673,0.0105,0.997,0.0155,0.391,0.00608,0.20278,0,0
NJ_WODU_03_LC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0.492,0.00612,0.346,0.00538,0.662,0.0103,0,0,0,0,0,0,0,0.096,8.96e-4,0,0,0.249,0.0155,0,0,0,0,0,2.86,0.267,0,0,0,0,0,0.659,0.0103,0.785,0.0122,0.5499999999999999,0.00856,0.336256,0,0
NJ_WODU_11_AD,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,2.88,0,0,0,1.09,2.03e-4,0,0,0.136,0.00169,0,0,0.159,0.00247,0,0,0,0,0,0,0,0,0,0,0,0.244,0.0152,0,0,0,0,0,0.637,0.0595,0,0,0,0,0,0.129,0.00201,0.265,0.00412,0.31800000000000006,0.00495,0.090143,0,0
