ID,11Cl-PF3OUdS,3:3 FTCA,4:2 FTS,5:3 FTCA,6:2 FTS,7:3 FTCA,8:2 FTS,9Cl-PF3ONS,ADONA,EtFOSAA,HFPO-DA,HQ_HFPO-DA,MeFOSAA,N-EtFOSA,N-EtFOSE,N-MeFOSA,N-MeFOSE,NFDHA,PFBA,HQ_PFBA,PFBS,HQ_PFBS,PFDA,HQ_PFDA,PFDS,HQ_PFDS,PFDoA,HQ_PFDoA,PFDoS,PFEESA,PFHpA,HQ_PFHpA,PFHpS,PFHxA,HQ_PFHxA,PFHxS,HQ_PFHxS,PFMBA,PFMPA,PFNA,HQ_PFNA,PFNS,PFOA,HQ_PFOA,CR_PFOA,EPA_CR_PFOA,PFOS,HQ_PFOS,PFOSA,HQ_PFOSA,PFPeA,HQ_PFPeA,PFPeS,PFTeDA,HQ_PFTeDA,PFTrDA,HQ_PFTrDA,PFUnA,HQ_PFUnA,Sum_PFAS_HQ,Sum_PFAS_CR,Sum_PFAS_EPACR
103-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.00622,0,0,0,0,0,0.084,0.00784,0,0,0,0,0,0,0,0,0,0,0,0.01406,0,0
119-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0.124,0,0,0,0,0,0,0.161,0.002,0,0,0.192,0.00299,0,0,0,0,0,0,0,0,0,0,0,0.155,0.00965,0,0,0,0,0,0.807,0.0753,0,0,0,0,0,0.238,0.0037,0.559,0.0087,0.113,0.00176,0.10410000000000001,0,0
122-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.126,0,0,0.441,8.23e-5,0,0,0.101,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.016,0,0,0,0,0,0,0,0,0,0,0,0.0173423,0,0
123-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0.141,0,0,0,0,0,0,0.11,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0.0208,0,0,0,0,0,0.333,0.0311,0,0,0,0,0,0,0,0,0,0,0,0.05327,0,0
128-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131-1,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,12.9,0.105,0,0,0.98,1.83e-4,0,0,0.259,0.00322,0,0,0.153,0.00238,0,0,0,0,0,0,0,0,0,0,0,0.381,0.0237,0,0,0,0,0,3.08,0.287,0,0,0,0,0,0.164,0.00255,0.252,0.00392,0.16200000000000003,0.00252,0.32547299999999996,0,0
132-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.0148,0,0,0,0,0,0.481,0.0449,0,0,0,0,0,0,0,0,0,0,0,0.0597,0,0
136-1,0,0,0,0,0,6.43,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0.12,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.0166,0,0,0,0,0,1.14,0.106,0,0,0,0,0,0,0,0.221,0.00344,0,0,0.12753,0,0
138-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.0051,0,0,0,0,0,0.076,0.00709,0,0,0,0,0,0,0,0,0,0,0,0.01219,0,0
138-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.0161,0,0,0,0,0,0,0,0,0,0,0,0.0161,0,0
