TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFHpS,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,146689-46-5,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFOS,0.171,Y,K J,ng/g,0.394,0.0985,WG87321,NA,45298-90-6,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFNS,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,474511-07-4,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFDS,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,126105-34-8,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFDoS,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,343629-43-6,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,4:2 FTS,NA,N,U,ng/g,1.58,0.394,WG87321,NA,414911-30-1,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,6:2 FTS,NA,N,U,ng/g,8.53,0.355,WG87321,NA,425670-75-3,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,8:2 FTS,NA,N,U,ng/g,1.58,0.335,WG87321,NA,481071-78-7,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFOSA,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,754-91-6,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,N-MeFOSA,0.126,Y,J,ng/g,0.453,0.0985,WG87321,NA,31506-32-8,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,N-EtFOSA,NA,N,U,ng/g,0.985,0.276,WG87321,NA,4151-50-2,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,MeFOSAA,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,2355-31-9,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,EtFOSAA,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,2991-50-6,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,N-MeFOSE,NA,N,U,ng/g,10.8,0.985,WG87321,NA,24448-09-7,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,N-EtFOSE,4.2,Y,K,ng/g,2.96,0.985,WG87321,NA,1691-99-2,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,HFPO-DA,NA,N,U,ng/g,1.5,0.394,WG87321,NA,122499-17-6,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,ADONA,NA,N,U,ng/g,1.58,0.394,WG87321,NA,2127366-90-7,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,9Cl-PF3ONS,NA,N,U,ng/g,1.58,0.395,WG87321,NA,1621485-21-9,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,11Cl-PF3OUdS,NA,N,U,ng/g,1.58,0.395,WG87321,NA,2196242-82-5,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,3:3 FTCA,NA,N,U H,ng/g,1.58,0.394,WG87321,NA,1169706-83-5,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,5:3 FTCA,NA,N,U,ng/g,9.85,2.46,WG87321,NA,1799325-94-2,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,7:3 FTCA,NA,N,U,ng/g,9.85,2.46,WG87321,NA,1799325-95-3,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFEESA,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,220689-13-4,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFMPA,NA,N,U,ng/g,0.788,0.197,WG87321,NA,NA,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,PFMBA,NA,N,U,ng/g,0.394,0.0985,WG87321,NA,1432017-36-1,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231108,0236,Sample,NFDHA,NA,N,U H,ng/g,1.73,0.202,WG87321,NA,39187-41-2,NA,NA,1-Nov-21,122-1,NA
NA,L40006-42,NA,NA,NA,NA,20231025,0800,Sample,% Moisture,100,Y,NA,%,NA,NA,WG87321,NA,NA,NA,NA,1-Nov-21,122-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFBA,NA,N,U,ng/g,1.52,0.381,WG87321,NA,45048-62-2,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFPeA,NA,N,U,ng/g,0.762,0.19,WG87321,NA,45167-47-3,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFHxA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,92612-52-7,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFHpA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,120885-29-2,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFOA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,45285-51-6,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFNA,0.334,Y,J,ng/g,0.381,0.0952,WG87321,NA,72007-68-2,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFDA,0.11,Y,K J,ng/g,0.381,0.0952,WG87321,NA,73829-36-4,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFUnA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,196859-54-8,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFDoA,NA,N,U,ng/g,0.381,0.0762,WG87321,NA,171978-95-3,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFTrDA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,862374-87-6,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFTeDA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,365971-87-5,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFBS,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,45187-15-3,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFPeS,NA,N,U,ng/g,0.381,0.0957,WG87321,NA,175905-36-9,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFHxS,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,108427-53-8,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFHpS,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,146689-46-5,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFOS,0.333,Y,K J,ng/g,0.381,0.0952,WG87321,NA,45298-90-6,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFNS,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,474511-07-4,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFDS,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,126105-34-8,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFDoS,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,343629-43-6,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,4:2 FTS,NA,N,U,ng/g,1.52,0.381,WG87321,NA,414911-30-1,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,6:2 FTS,NA,N,U,ng/g,8.24,0.343,WG87321,NA,425670-75-3,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,8:2 FTS,NA,N,U,ng/g,1.52,0.324,WG87321,NA,481071-78-7,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFOSA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,754-91-6,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,N-MeFOSA,0.141,Y,J,ng/g,0.438,0.0952,WG87321,NA,31506-32-8,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,N-EtFOSA,NA,N,U,ng/g,0.952,0.267,WG87321,NA,4151-50-2,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,MeFOSAA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,2355-31-9,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,EtFOSAA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,2991-50-6,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,N-MeFOSE,NA,N,U,ng/g,10.5,0.952,WG87321,NA,24448-09-7,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,N-EtFOSE,7.14,Y,K,ng/g,2.86,0.952,WG87321,NA,1691-99-2,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,HFPO-DA,NA,N,U,ng/g,1.45,0.381,WG87321,NA,122499-17-6,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,ADONA,NA,N,U,ng/g,1.52,0.381,WG87321,NA,2127366-90-7,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,9Cl-PF3ONS,NA,N,U,ng/g,1.52,0.382,WG87321,NA,1621485-21-9,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,11Cl-PF3OUdS,NA,N,U,ng/g,1.52,0.381,WG87321,NA,2196242-82-5,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,3:3 FTCA,NA,N,U H,ng/g,1.52,0.381,WG87321,NA,1169706-83-5,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,5:3 FTCA,NA,N,U,ng/g,9.52,2.38,WG87321,NA,1799325-94-2,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,7:3 FTCA,NA,N,U,ng/g,9.52,2.38,WG87321,NA,1799325-95-3,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFEESA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,220689-13-4,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFMPA,NA,N,U,ng/g,0.762,0.19,WG87321,NA,NA,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,PFMBA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,1432017-36-1,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231108,0248,Sample,NFDHA,NA,N,U H,ng/g,1.67,0.19,WG87321,NA,39187-41-2,NA,NA,1-Nov-21,123-1,NA
NA,L40006-43,NA,NA,NA,NA,20231025,0800,Sample,% Moisture,100,Y,NA,%,NA,NA,WG87321,NA,NA,NA,NA,1-Nov-21,123-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFBA,NA,N,U,ng/g,1.36,0.339,WG87321,NA,45048-62-2,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFPeA,NA,N,U,ng/g,0.678,0.169,WG87321,NA,45167-47-3,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFHxA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,92612-52-7,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFHpA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,120885-29-2,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFOA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,45285-51-6,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFNA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,72007-68-2,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFDA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,73829-36-4,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFUnA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,196859-54-8,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFDoA,NA,N,U,ng/g,0.339,0.0678,WG87321,NA,171978-95-3,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFTrDA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,862374-87-6,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFTeDA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,365971-87-5,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFBS,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,45187-15-3,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFPeS,NA,N,U,ng/g,0.339,0.0852,WG87321,NA,175905-36-9,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFHxS,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,108427-53-8,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFHpS,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,146689-46-5,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFOS,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,45298-90-6,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFNS,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,474511-07-4,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFDS,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,126105-34-8,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFDoS,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,343629-43-6,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,4:2 FTS,NA,N,U,ng/g,1.36,0.339,WG87321,NA,414911-30-1,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,6:2 FTS,NA,N,U,ng/g,7.33,0.305,WG87321,NA,425670-75-3,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,8:2 FTS,NA,N,U,ng/g,1.36,0.288,WG87321,NA,481071-78-7,NA,NA,3-Nov-21,128-1,NA
