TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFOSA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,754-91-6,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,N-MeFOSA,0.105,Y,J,ng/g,0.39,0.0847,WG87321,NA,31506-32-8,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,N-EtFOSA,NA,N,U,ng/g,0.847,0.237,WG87321,NA,4151-50-2,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,MeFOSAA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,2355-31-9,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,EtFOSAA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,2991-50-6,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,N-MeFOSE,NA,N,U,ng/g,9.3,0.847,WG87321,NA,24448-09-7,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,N-EtFOSE,7.74,Y,K,ng/g,2.54,0.847,WG87321,NA,1691-99-2,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,HFPO-DA,NA,N,U,ng/g,1.29,0.339,WG87321,NA,122499-17-6,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,ADONA,NA,N,U,ng/g,1.36,0.339,WG87321,NA,2127366-90-7,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,9Cl-PF3ONS,NA,N,U,ng/g,1.36,0.34,WG87321,NA,1621485-21-9,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,11Cl-PF3OUdS,NA,N,U,ng/g,1.36,0.339,WG87321,NA,2196242-82-5,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,3:3 FTCA,NA,N,U H,ng/g,1.36,0.339,WG87321,NA,1169706-83-5,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,5:3 FTCA,NA,N,U,ng/g,8.47,2.12,WG87321,NA,1799325-94-2,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,7:3 FTCA,NA,N,U,ng/g,8.47,2.12,WG87321,NA,1799325-95-3,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFEESA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,220689-13-4,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFMPA,NA,N,U,ng/g,0.678,0.169,WG87321,NA,NA,NA,NA,3-Nov-21,128-1,NA
